12	22663283	22665618	118937647
25	24504272	24507841	110505688
21	8937143	8938405	118942860
9	52550127	52567525	110532359
9	52513511	52514463	110532358
21	9532104	9722986	118942866
21	9824850	9864743	118942868
9	52452708	52473256	110532354
9	52514565	52530602	110532357
9	52485523	52488233	110532356
9	52372062	52406309	110532351
9	52365761	52371772	110532350
9	52406449	52443628	110532352
8	85124558	85144377	110530843
8	85146908	85156401	110530842
1	83721859	83798056	110530841
8	85163785	85201362	110530840
32	41644320	41675688	110530847
9	585248	588714	110530846
9	599485	626742	110530845
8	86352274	86555806	110530844
32	40934111	40976218	110530849
32	41019472	41048657	110530848
28	5392397	5496496	110508385
26	42214901	42217502	118944568
26	41660302	41665080	118944424
26	43161768	43163012	118944425
24	10972091	10982118	100136709
26	40871432	40872675	118944423
26	31417570	31419286	118944420
26	31989127	32004075	118944421
7	49515173	49534053	100136705
3	72838996	72869327	100136704
3	68125603	68147765	100136707
Y	31604094	31607229	100136706
11	11951013	12161340	100136701
14	4977890	4981528	100136700
10	8637673	8638902	100136703
12	56253926	56255161	100136702
Y	27895651	27899900	110509921
6	89317125	89346431	110509922
Y	28256809	28265547	110509923
Y	28270592	28273502	110509924
Y	28277874	28310342	110509925
Y	28317322	28381826	110509926
3	12856694	12860589	110509927
Y	28440077	28493457	110509928
Y	28531997	28536813	110509929
11	7012348	7051404	110535201
11	7979946	8001014	110535208
25	11309828	11314640	110516394
1	74709330	74728846	110529307
27	10787642	10805536	110507542
8	7340699	7369522	110529304
21	9101827	9104616	118942864
21	9261999	9277148	118942865
7	12474267	12485521	110528833
7	11469006	11526110	110528832
7	12213138	12256113	110528831
7	11536906	11628121	110528830
7	7288918	7293507	110528837
18	8475052	8479361	110528836
7	12259944	12275532	110528835
1	7840680	7882886	110528839
7	12487901	12520663	110528838
21	9956905	10061152	118942869
5	73207860	73218158	100135942
1	8803089	8808904	118966096
1	92849040	92850460	118966095
15	15761444	15762978	100135941
5	21997656	22000508	100135946
3	60277245	60286080	100135947
1	91317168	91530447	118966091
9	64324158	64334837	118966090
7	9763202	9769681	100135948
23	53851919	53855036	100135949
9	66522662	66543277	118966098
8	23192564	23198250	110531079
18	57292750	57336282	110496579
8	19586500	19590013	110531075
2	76538676	76674073	110496575
8	22503872	22506362	110531077
8	21713160	21722182	110531076
1	84430828	84439198	110531070
8	15033915	15039013	110531072
32	39451446	39494663	110488518
28	2483313	2498771	110508338
3	6988898	6993845	110508339
28	1803794	1836904	110508332
3	6993067	6996424	110508333
28	1773385	1791353	110508330
28	1791719	1798195	110508331
28	2365180	2395251	110508336
28	2459632	2464135	110508337
26	9043417	9073342	118944560
28	2204774	2362002	110508335
24	12952684	13036439	110503778
25	24507994	24560052	110505685
10	76862049	76870007	110497198
27	18956560	18991623	110507689
27	18885357	18923744	110507688
10	83690223	83698738	110497195
10	83674535	83680325	110497194
10	85966022	85972829	110497197
2	80755050	80765470	110497196
8	74059564	74062513	110530546
11	42839548	42861443	110535715
8	74043058	74052424	110530544
1	85304274	85351424	110513561
1	9391663	9425672	110530545
27	18805170	18820231	110507683
19	64889417	64947429	110498297
8	73940094	73951207	110530543
7	61634197	61749981	110528165
7	61542003	61557188	110528164
7	62001553	62013335	110528167
7	61515356	61520408	110528161
7	61385568	61470736	110528160
1	69288453	69363097	110528163
7	61533947	61539719	110528162
11	42592008	42629731	110535713
7	62159975	62175491	110528169
7	62024859	62135585	110528168
10	78519650	78533161	110497229
10	78495351	78501627	110497227
19	8995208	9004935	110497226
19	8875109	8904658	110497225
10	78464404	78474168	110497224
2	80780059	80977313	110497223
19	8805462	8809619	110497222
17	74625985	74635714	110494558
17	74657421	74674678	110494559
9	32520078	32539651	110531929
9	32494490	32498602	110531928
9	32274254	32447901	110531927
9	32222127	32239463	110531926
1	85891577	86047176	110531925
9	32217143	32220999	110531924
2	67524410	67536975	110494554
9	32111792	32114299	110531922
9	32114304	32122169	110531921
17	74617817	74622094	110494557
21	13066861	13069913	110490648
21	13051847	13058457	110490642
15	70762977	70776168	110490643
15	70543376	70547418	110490645
2	47033009	47130517	110490646
21	13070036	13074369	110490647
19	65332220	65436708	110498419
19	64562912	64579559	110498418
