ENSELUG00000008701	110491501	110499128	0
ENSELUG00000014924	110500666	110531808	0
ENSELUG00000005551	110485794	110493548	1
ENSELUG00000002230	110490481	110499986	1
ENSELUG00000002546	110488806	110505011	0
ENSELUG00000003774	110525933	110536310	0
ENSELUG00000016102	110499244	110502957	0
ENSELUG00000009728	110494455	110527993	0
ENSELUG00000019878	110486662	110538622	1
ENSELUG00000018010	110525634	110536001	0
ENSELUG00000006552	110533731	110537387	0
ENSELUG00000024001	110485678	110487281	1
ENSELUG00000013169	110521531	110524393	0
ENSELUG00000003136	110497052	110497053	1
ENSELUG00000019142	110506999	118964981	1
ENSELUG00000003146	110525353	110535758	0
ENSELUG00000006156	110492890	110521350	0
ENSELUG00000007241	110492005	110516183	0
ENSELUG00000019721	110486282	110538218	1
ENSELUG00000020231	110502279	110526449	0
ENSELUG00000013681	110515023	118936473	1
ENSELUG00000013677	110485973	110493695	1
ENSELUG00000008592	110494034	110528431	0
ENSELUG00000011191	110518702	110520786	1
ENSELUG00000001900	110495544	110527232	1
ENSELUG00000019960	110499381	110502702	0
ENSELUG00000017224	110525662	110536031	0
ENSELUG00000014458	110488239	110496342	0
ENSELUG00000006353	110502140	110505314	0
ENSELUG00000007598	110496049	110514094	0
ENSELUG00000005702	110492825	110521342	0
ENSELUG00000024140	110514102	110516570	1
ENSELUG00000006142	100136621	110527938	0
ENSELUG00000000473	110487797	110515267	1
ENSELUG00000008015	110523967	110536954	0
ENSELUG00000008554	110489944	110535621	0
ENSELUG00000022566	110488874	110505071	0
ENSELUG00000001405	110521056	110529668	0
ENSELUG00000009220	110503239	110507232	0
ENSELUG00000013954	110532996	118943826	1
ENSELUG00000012684	110491853	110532757	0
ENSELUG00000011149	110509742	110522888	0
ENSELUG00000013991	110488554	110504769	0
ENSELUG00000020539	110508906	110530130	0
ENSELUG00000014303	110502413	110528057	0
ENSELUG00000000546	110508670	110530384	0
ENSELUG00000005771	110487637	110496106	0
ENSELUG00000021906	110502566	110524216	0
ENSELUG00000017448	110488098	110496704	0
ENSELUG00000005073	110487955	110496574	0
ENSELUG00000023024	110522235	110529617	0
ENSELUG00000023926	110509000	110530057	0
ENSELUG00000017298	110493408	110493411	1
ENSELUG00000013384	110508697	110530353	0
ENSELUG00000006586	110508800	110530224	0
ENSELUG00000021033	110495943	110527558	1
ENSELUG00000021515	100301824	110508881	0
ENSELUG00000023397	110521893	110539097	1
ENSELUG00000010948	110493874	110527643	0
ENSELUG00000020596	100305314	110527733	0
ENSELUG00000006897	110486399	110538388	1
ENSELUG00000000330	110491504	110499126	0
ENSELUG00000024056	110488108	110496466	0
ENSELUG00000002142	110497028	118941087	1
ENSELUG00000002993	110485979	110524081	0
ENSELUG00000024156	110509554	110523337	0
ENSELUG00000005457	110509380	110534149	0
ENSELUG00000014755	110486166	110538088	1
ENSELUG00000009737	110487546	110538310	1
ENSELUG00000018617	110508958	110530088	0
ENSELUG00000012714	110502442	110528425	0
ENSELUG00000019935	110499382	110502703	0
ENSELUG00000006336	110502503	110529484	0
ENSELUG00000002596	110525963	110536346	0
ENSELUG00000016123	110491121	110532014	0
ENSELUG00000014667	110508696	110536756	1
ENSELUG00000015946	110522000	110529362	0
ENSELUG00000022440	110488881	110505078	0
ENSELUG00000022189	110489295	110496179	0
ENSELUG00000013158	110503576	110507452	0
ENSELUG00000019318	110492179	110532429	0
ENSELUG00000015299	110494332	110528103	0
ENSELUG00000022228	110488051	110496670	0
ENSELUG00000002926	110498032	110505415	0
ENSELUG00000004212	110490399	110500082	1
ENSELUG00000000928	110523746	110537192	0
ENSELUG00000004243	110497702	110505765	0
ENSELUG00000017756	110501375	110520594	0
ENSELUG00000020525	110525584	110535947	0
ENSELUG00000022475	110495454	110495471	1
ENSELUG00000002557	110509566	110523350	0
ENSELUG00000024352	110494124	110528303	0
ENSELUG00000005031	101268964	110530007	0
ENSELUG00000003000	110490443	110500036	1
ENSELUG00000001959	110490519	110499940	1
ENSELUG00000019609	100499174	100499175	0
ENSELUG00000014991	110502402	110527905	0
ENSELUG00000005665	110492059	110532614	0
ENSELUG00000015492	110521491	110524355	0
ENSELUG00000009180	110487764	110504688	0
ENSELUG00000002853	110488950	110505150	0
ENSELUG00000023714	110508839	110530192	0
ENSELUG00000023624	110501329	110521162	1
ENSELUG00000007879	110509692	110523476	0
ENSELUG00000018032	110491124	110531987	0
ENSELUG00000021516	110534852	110537813	0
ENSELUG00000013213	110533908	110537223	0
ENSELUG00000020607	110487257	110494898	1
ENSELUG00000003276	110523863	110537070	0
ENSELUG00000016644	110494299	110528140	0
ENSELUG00000014189	110497371	110534525	1
ENSELUG00000003755	110494050	110528370	0
ENSELUG00000002187	110505362	118941489	0
ENSELUG00000021961	110489951	110535617	0
ENSELUG00000001060	110525558	110535928	0
ENSELUG00000005527	110491060	110532609	0
ENSELUG00000018850	110525611	110535977	0
ENSELUG00000008568	100305334	110499124	0
ENSELUG00000002536	110525965	110536343	0
ENSELUG00000007743	110506698	110526567	1
